Vgs,L1,Id,gm,cgs,ro,gm/id,gm/cgs,gmro,Id/W
0.41,0.2,4.17E-08,1.05E-06,2.51E-15,25020385.36,25.27044098,420777971.6,26.37786637,0.00417189
0.4,0.2,3.24E-08,8.21E-07,2.36E-15,31972437.2,25.33197809,348345750.4,26.23574109,0.00323928
1.19,0.25,0.0012171,0.003316702,1.30E-14,5523.348298,2.72508586,2.56E+11,18.31930035,121.71
1.18,0.25,0.00118401,0.00330185,1.30E-14,5656.863699,2.788701109,2.55E+11,18.6781154,118.401
1.17,0.25,0.00115107,0.00328634,1.29E-14,5796.026244,2.855030537,2.54E+11,19.04771289,115.107
1.16,0.25,0.00111828,0.003270152,1.29E-14,5941.191708,2.924269414,2.53E+11,19.42859995,111.828
1.15,0.25,0.00108567,0.003253269,1.29E-14,6092.735084,2.996554202,2.52E+11,19.82130617,108.567
1.14,0.25,0.00105322,0.003235672,1.29E-14,6251.070496,3.072171056,2.52E+11,20.22641377,105.322
1.13,0.25,0.00102096,0.003217338,1.28E-14,6416.652497,3.151287024,2.51E+11,20.64453991,102.096
1.12,0.25,0.000988877,0.003198246,1.28E-14,6589.96388,3.234220232,2.49E+11,21.07632562,98.8877
1.11,0.25,0.000956994,0.003178369,1.28E-14,6771.53976,3.321200551,2.48E+11,21.52245206,95.6994
1.1,0.25,0.000925313,0.003157679,1.28E-14,6961.960544,3.412552293,2.47E+11,21.98363661,92.5313
1.09,0.25,0.000893843,0.003136145,1.27E-14,7161.871913,3.508608335,2.46E+11,22.46066879,89.3843
1.08,0.25,0.000862593,0.003113731,1.27E-14,7371.972792,3.609733675,2.45E+11,22.95434021,86.2593
1.07,0.25,0.000831571,0.003090398,1.27E-14,7593.043254,3.716336909,2.44E+11,23.46552569,83.1571
1.06,0.25,0.000800788,0.0030661,1.27E-14,7825.926355,3.828853579,2.42E+11,23.9950728,80.0788
1.05,0.25,0.000770253,0.003040785,1.26E-14,8071.585275,3.947774303,2.41E+11,24.54395543,77.0253
1.04,0.25,0.000739976,0.003014394,1.26E-14,8331.070059,4.073637523,2.39E+11,25.1131276,73.9976
